input_sentence,label,category,explanation,correction,is category correct?,"if not, what is correct label",localisation given,localization correct,expl part 1 given,expl part 1 correct,expl part 2 given,expl part 2 correct,correction given,correction correct,total (out of 8),structure (out of 4),total_exp,structure_exp,total_corr,structure_corr,correct_exp1,correct_exp2
Which hat did Mike quip that she never wore?,0,Syntax,"The pronoun used in the sentence does not agree with the gender of the name ""Mike"". In English, the pronoun ""she"" is typically used for females, while ""he"" is used for males. Here, the name ""Mike"" is most commonly associated with a male name, so the appropriate pronoun would be ""he"", as follows: Which hat did Mike quip that he never wore?",Which hat did Mike quip that he never wore?,1,,1,0,1,0,1,0,1,0,4,4,3,3,1,1,0,0
I won't have some money.,0,Syntax,"The negation ""won't"" requires a base form of the verb after it, but ""have"" is not the base form here. It should be ""I won't have some money."" or simply ""I don't have some money."", where ""don't"" contracts with the base form of the verb ""have"".",I won't have some money.,1,,1,0,1,0,1,0,1,0,4,4,3,3,1,1,0,0
My mother is easy to please my father and.,0,Syntax,"The sentence contains a syntax error because there is no verb after ""my father"" to complete the thought. Additionally, it appears as though the speaker intended to say ""My parents are easy to please,"" but accidentally wrote ""my father and"" instead of just saying ""my parents."" This mistake changes the meaning of the sentence entirely.","The sentence should read ""My parents are easy to please."" Alternatively, if the speaker meant to refer only to their mother's ease of being pleased by their father, then they could revise the sentence to something like ""My mother finds pleasure easily from my father's actions.""",1,,1,"0,5",1,"0,5",1,"0,5",1,1,"6,5",4,"4,5",3,2,1,"1,5","2,5"
"That the cops spoke to the janitor about it yesterday is terrible, that robbery.",0,Syntax,"The second part of the sentence, ""that robbery,"" is a fragment because it does not contain a verb. In order for the sentence to be grammatically complete, there needs to be a main clause before the comma, such as ""The news about the robbery"" or some other noun phrase indicating what ""it"" refers to. Additionally, there should be better punctuation between clauses; either a semicolon or period would work instead of just a comma.",That the cops spoke to the janitor about the robbery yesterday is terrible.,1,,1,1,1,1,1,1,1,0,7,4,6,3,1,1,3,3
"No writer, nor any playwright, meets in Vienna.",0,Syntax,"The subject (""No writer, nor any playwright"") is a negative phrase, but there's no auxiliary verb for it to negate. To fix this error, we need to add an auxiliary verb such as ""does"" before the predicate ""meets"".","Either ""No writer or any playwright does meet in Vienna."" or ""Neither a writer nor a playwright meets in Vienna.""",1,,1,0,1,0,1,0,1,1,5,4,3,3,2,1,0,1
The farmer dumped the cart with apples.,0,Syntax,"In the sentence ""The farmer dumped the cart with apples"", there is a prepositional phrase ""with apples"" modifying the noun ""cart"". However, it would be more appropriate for the preposition to be ""of"" rather than ""with"" if we want to indicate possession. A better way to express the idea is ""The farmer dumped the apple cart."" This eliminates any ambiguity about what is being dumped and avoids using a potentially confusing preposition. Alternatively, if the intended meaning is that the farmer used a cart that had apples in it to do some dumping, then ""The farmer dumped the cart full of apples."" could work as well.","The sentence ""The farmer dumped the cart with apples."" can be revised to either ""The farmer dumped the apple cart."" or ""The farmer dumped the cart full of apples."", depending on the intended meaning.",1,,1,1,1,1,1,"0,5",1,1,"7,5",4,"5,5",3,2,1,"2,5","3,5"
A job offered.,0,Syntax,"The sentence ""A job offered"" is grammatically incorrect because it lacks a subject and a verb in the present tense. In order for the sentence to be grammatically correct, it needs to include both of these elements. For example, ""A company offers a job,"" or ""Someone offered me a job.""",Someone offered me a job.,1,"Syntax, Semantics",1,0,1,0,1,0,1,1,5,4,3,3,2,1,0,1
The jeweller scribbled the contract with his name.,0,Syntax,"In this sentence, there is a misuse of the verb ""scribble"". Scribbling usually refers to writing something quickly and carelessly, often leaving it difficult to read. It would be unusual for someone to sign their name by scribbling it as signing requires more precision than scribbling. A better choice might be ""signed"" or ""wrote"", depending on context.",The jeweler signed the contract with his name.,1,,1,1,1,0,"0,5","0,5",1,1,6,"3,5",4,"2,5",2,1,"1,5","2,5"
The children amused.,0,Syntax,"In English, a verb must agree with its subject in number. Here, the subject ""children"" is plural but the verb ""amuses"" is singular, so they do not match. A plural verb such as ""amuse"" would be needed for agreement with the plural subject.",The children amused (themselves).,1,,1,1,1,0,1,0,1,1,6,4,4,3,2,1,1,2
many information was provided.,0,Syntax,"The subject-verb agreement is incorrect in this sentence. In English, a singular subject requires a singular verb, while a plural subject requires a plural verb. Here, the subject ""many information"" is plural but the verb ""was"" is singular. It should be changed to ""were"".",Many pieces of information were provided.,1,,1,0,1,0,1,0,1,1,5,4,3,3,2,1,0,1
Wash you!,0,Syntax,"The verb ""wash"" needs to agree with its subject in number. In this case, the subject ""you"" is second person singular, so the verb should be ""wash**es**"". Additionally, there is no question mark at the end of the sentence, but it appears to be a command, so it should end with an exclamation point instead.",Wash **yourself**!,1,,1,0,1,0,1,0,1,1,5,4,3,3,2,1,0,1
The monkeys proud of their leader.,0,Syntax,"In this sentence, there is a missing preposition after the word ""proud"". A possible correction would be ""The monkeys are proud of their leader.""",The monkeys are proud of their leader.,1,,1,0,1,0,1,0,1,1,5,4,3,3,2,1,0,1
Students studying English reads Conrad's Heart of Darkness while at university.,0,Syntax,"The subject of the second verb (""reads"") needs to be changed from a plural noun (""Students"") to a singular noun to agree with the subject-verb agreement rule. Also, there should be no comma between two verbs acting on the same subject.","The sentence should read as follows: ""A student studying English reads Conrad's Heart of Darkness while at university.""",1,,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
I drank some of water.,0,Syntax,"In English, we must use an article (""a"" or ""an"" if counting out a single unit, or ""some"" for a non-specific amount of something uncountable) before most nouns when referring to them. Therefore, ""water"" needs an article here, so it should be either ""I drank some water"" or ""I drank some of the water"".",I drank some water.,1,,1,1,1,1,1,"0,5",1,1,"7,5",4,"5,5",3,2,1,"2,5","3,5"
He washed yourself.,0,Syntax,"The verb ""washed"" requires an object pronoun (""you""), not a reflexive pronoun (""yourself""). A reflexive pronoun refers back to the subject of the clause and implies that the action is performed by the subject on himself or herself. Therefore, the correct form for the object would be ""you"".",He washed you.,1,,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
John is easy to please Kim.,0,Syntax,"The sentence ""John is easy to please Kim"" is syntactically incorrect because it lacks a preposition such as ""for"" after ""please"". This makes the relationship between ""easy to please"" and ""Kim"" unclear. A correct version would be ""John is easy to please *for* Kim"", where ""*for*"" indicates that Kim is the beneficiary of John's being pleased.",John is easy to please for Kim.,1,,1,1,1,1,1,"0,5",1,1,"7,5",4,"5,5",3,2,1,"2,5","3,5"
It tries to leave the country.,0,Syntax,"The subject ""it"" does not clearly refer to a specific antecedent, making the sentence difficult to understand without additional context. Additionally, there is no determiner before ""country,"" making it unclear whether the speaker is referring to a single country or countries in general.","The sentence could be corrected as follows: ""It tries to leave the nation."" Or, if referring to a particular country, ""It tries to leave Canada.""",0,Semantics,1,"0,5",1,"0,5",1,"0,5",1,0,"5,5",4,"4,5",3,1,1,"1,5","1,5"
We expect there to will rain.,0,Syntax,"The subject (""there"") and auxiliary verb (""expect"") must agree in number, so ""there"" should be changed to ""they"" to make it grammatically correct. Additionally, the use of two future tense markers (""will"" and ""rain"") is redundant; only one is necessary. Here's a corrected version:",They expect it will rain.,1,,1,0,1,0,1,0,1,1,5,4,3,3,2,1,0,1
Fed knows which politician her to vote for.,0,Syntax,"The sentence contains a pronoun ambiguity error. It's unclear who ""her"" refers to - it could be referring to ""Fed"", but more likely it's supposed to refer to some female person being discussed earlier. However, since there isn't enough context provided, we can only assume that ""her"" is intended as the object of the verb ""vote"". To fix this issue, we need to rephrase the sentence so that the meaning becomes clearer. For example, changing ""her"" to ""the woman she likes best"" would remove any ambiguity.",Fed knows which politician to vote for. Or alternatively: Fed knows which politician the woman should vote for.,1,,1,1,1,1,1,"0,5",1,1,"7,5",4,"5,5",3,2,1,"2,5","3,5"
Which topic did you get bored because Mary talked about?,0,Syntax,"The sentence contains a pronoun (""which"") without a clear antecedent. It's unclear what specific topic the speaker got bored with since the sentence doesn't specify whose conversation it refers to. A possible corrected version could be: ""I got bored with the topic that Mary kept talking about.""",I got bored with the topic that Mary kept talking about.,1,,1,"0,5",1,"0,5",0,0,1,1,5,3,3,2,2,1,1,2
"That he was hungry, John whined.",0,Syntax,"The sentence contains a comma splice error, where two independent clauses (""he was hungry"" and ""John whined"") are incorrectly joined by only a comma. This results in a syntactically incorrect sentence.","Either revise the sentence as follows: * He was hungry, so John whined. * Being hungry, John began to whine. * Feeling peckish, John started to complain.",1,,1,1,1,1,0,0,1,1,6,3,4,2,2,1,2,3
I hit that you knew the answer.,0,Syntax,"The subject-verb agreement is incorrect in this sentence. ""Hit"" is a singular verb, but it does not agree with the plural subject ""you"". It should be changed to ""know"", which is the third person present tense form of the verb ""to know"". Additionally, there is no need for the word ""that"" in this context as it creates unnecessary complexity in the sentence. A simpler version would be ""I see you know the answer.""",I see you know the answer.,1,"Syntax, Semantics",1,1,1,0,1,0,1,1,6,4,4,3,2,1,1,2
the book of poems and from Blackwell takes a very long time to read.,0,Syntax,"The sentence contains a syntactic error because there are two independent clauses (""the book of poems"" and ""from Blackwell takes a very long time to read"") separated by only a conjunction (""and""). In order for this sentence to be grammatically correct, it would need to include a second verb after ""poems,"" such as ""The book of poems and the novel from Blackwell take a very long time to read."" Alternatively, the sentence could be written as two separate sentences: ""The book of poems takes a very long time to read. From Blackwell does too.""",The book of poems and the novel from Blackwell take a very long time to read.,1,,1,"0,5",1,0,1,0,1,1,"5,5",4,"3,5",3,2,1,"0,5","1,5"
Was sunk.,0,Syntax,"The sentence ""Was sunk"" is a verb fragment because it lacks a subject and other necessary elements for a complete sentence. A simple correction would be: ""The ship was sunk,"" assuming there's a context about a sinking ship.",The ship was sunk.,1,"Syntax, Semantics",1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
Which article did Terry file papers without reading?,0,Syntax,"The sentence contains a noun phrase error. Specifically, there is no determiner before the word ""Terry,"" making it a syntactically incorrect sentence. In English, most singular common nouns require determiners when they appear as subjects in sentences.","The sentence should be corrected as follows: ""Which *article* did *the* Terry file papers without reading?"" Here, I added ""*the*"" before ""Terry"" to make the noun phrase grammatically complete.",1,,1,0,1,0,1,0,1,0,4,4,3,3,1,1,0,0
She goes and buying some whiskey.,0,Syntax,"The word ""buying"" is a present participle verb form that needs to be attached to a subject through a linking verb. In this case, it looks like there was meant to be another instance of ""she,"" but instead ""and"" was inserted before the non-finite verb form ""buying."" To fix this issue, we can say either ""She goes and buys some whiskey"" or ""She goes buying some whiskey."" Alternatively, if she has already bought the whiskey, then ""She goes and bought some whiskey"" would work as well.",She goes and buys some whiskey.,1,,1,1,1,1,1,1,1,"0,5","7,5",4,6,3,"1,5",1,3,"3,5"
Kim and Terry is happy.,0,Syntax,"In English, a compound subject consisting of two singular nouns joined by ""and"" requires a plural verb form for grammatical agreement. Here, the incorrect verb form ""is"" has been used instead of the grammatically required ""are"".",Kim and Terry are happy.,1,,1,1,"0,5",1,1,1,1,1,"7,5","3,5","5,5","2,5",2,1,3,4
John whispered Mary left.,0,Syntax,"The sentence ""John whispered Mary left"" is syntactically incorrect because it does not specify what John whispered. It can be interpreted as John whispering while Mary left, but if we want to convey that John whispered something about Mary leaving, then a conjunction such as ""that"" needs to be added between ""whispered"" and ""Mary"". Without adding any words, however, the listener will interpret the utterance based on contextual knowledge they have outside of the immediate discourse. In written form, though, clarity dictates using appropriate syntax for intended meaning.","The sentence should be ""John whispered that Mary left.""",1,,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
Mary revealed himself to John.,0,Syntax,"The subject of the sentence ""Mary"" is female while the reflexive pronoun used is ""himself"", which refers to a male entity. It should be ""herself"".",Mary revealed herself to John.,0,Semantics,1,1,1,1,0,0,1,1,6,3,4,2,2,1,2,3
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",0,Syntax,"The sentence contains a repeated subject (""Churchill""), leading to incorrect syntax. A more appropriate way to structure the sentence would be as follows: ""Only Churchill recalled/remembered *that he* gave the Blood, Sweat and Tears speech."" Here, ""*that he*"" serves as a relative pronoun clause to maintain grammatical consistency within the sentence.","Only Churchill recalled/remembered that he gave the Blood, Sweat and Tears speech.",1,,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
Anson demonized,0,Syntax,"The verb ""demonize"" requires a direct object to complete its meaning, but none is provided in the sentence. A corrected version could be ""Anson demonized the protestors,"" assuming that Anson had a negative view of the protestors' actions.",Anson demonized the protestors.,1,"Syntax, Semantics",1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
Kick you!,0,Syntax,"The sentence contains a subject-verb agreement error. In the present tense, the verb ""kick"" requires a singular subject when used as an imperative (""Kick the ball!""), but it requires a plural subject otherwise (""You kick me""). Here, there is no clear plural subject for the verb ""kick,"" so we assume it's intended as an imperative, making ""you"" the implied subject. However, since ""you"" isn't explicitly stated before the verb, a more appropriate form would be ""Kick me!"" instead.","The sentence should be ""Kick me!"" if the intent is to use an imperative form. Otherwise, a proper subject needs to precede the verb ""kick.""",0,Semantics,1,1,"0,5",0,"0,5",0,1,1,5,3,3,2,2,1,1,2
What did you ask who Medea gave?,0,Syntax,"The question is syntactically incorrect because it uses the wrong verb form ""did"" after ""what"". Additionally, there's a missing direct object for the verb ""ask"". A correct version could be ""What did you ask Medea about?"" or ""What did you ask Medea to give?"".",What did you ask Medea about?,1,,1,"0,5",1,0,1,0,1,1,"5,5",4,"3,5",3,2,1,"0,5","1,5"
Medea tried the nurse to poison her children.,0,Syntax,"The verb ""tried"" requires a direct object to complete its meaning, but the word ""nurse"" has been used incorrectly as the direct object instead of being used as the subject of the infinitive ""to poison"". A more grammatically correct way to express this idea would be ""Medea attempted to have the nurse poison her children"" or ""Medea tried poisoning her children through the nurse.""",Medea tried to poison her children using the nurse.,1,,1,1,1,"0,5",1,"0,5",1,1,7,4,5,3,2,1,2,3
I ate that she was happy,0,Syntax,"The sentence contains a subject-verb agreement error. In the first clause ""I ate"", the verb ""ate"" does not match the subject ""I"". A more appropriate verb would be ""saw"" or ""noticed"". Additionally, there is no main verb in the second clause ""that she was happy"". It appears to be subordinate clause without a main clause to connect it to.",I noticed that she was happy.,1,"Syntax, Semantics",1,"0,5",1,0,"0,5",0,1,1,5,"3,5",3,"2,5",2,1,"0,5","1,5"
Gilgamesh is having fought the dragon.,0,Syntax,"The verb tense in this sentence is incorrect. ""Gilgamesh is having fought"" is a present perfect progressive tense used to describe an action that started in the past and continues up until now. However, since it says ""has fought,"" it implies that the action has been completed, so using the present perfect simple tense would be more appropriate. Additionally, there's no need for both ""is"" and ""having"" - only one auxiliary verb is necessary.",Gilgamesh has fought the dragon.,1,,1,1,1,"0,5",1,1,1,1,"7,5",4,"5,5",3,2,1,"2,5","3,5"
Anson thought that himself was happy.,0,Syntax,"The reflexive pronoun ""himself"" cannot be used as a subject; it must refer back to another noun or pronoun within the same clause. In this case, ""Anson"" is the subject of the sentence, so we need to use the non-reflexive form ""he"": ""Anson thought he was happy.""",Anson thought he was happy.,1,,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
He can will go,0,Syntax,"The sentence ""He can will go"" is grammatically incorrect because it contains a redundancy error. The modal verb ""can"" already implies ability, so there's no need to use ""will,"" which expresses future tense. Therefore, the correct form would be either ""He can go"" or ""He will go,"" but not both together.","The sentence should be ""He can go"" or ""He will go"", depending on the intended meaning.",1,,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
How fierce the battle?,0,Syntax,"The sentence is missing a required auxiliary verb, either ""is"" or ""was"", after ""how"". A proper question would be ""How fierce was the battle?"" or ""How fierce is the battle?"" if referring to something currently happening.",How fierce was the battle?,1,,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
I inquired when could we leave.,0,Syntax,"The subject-auxiliary inversion needed for a question has been applied incorrectly. It should be ""Could I inquire when we can leave?"" instead. In the original sentence, it seems as though ""I"" is the object being inquired about rather than the person doing the inquiring.",Could I inquire when we can leave?,1,,1,1,1,"0,5",0,0,1,1,"5,5",3,"3,5",2,2,1,"1,5","2,5"
