input_sentence,label,explanation,localisation given,localization correct,expl part 1 given,expl part 1 correct,expl part 2 given,expl part 2 correct,bonus - correction given,bonus - correction correct,bonuses (out of 2),total with bonus (out of 8),total_exp,structure_exp,correct_exp1
Packages drive easily to New York.,0,"The sentence contains a subject-verb agreement error. The subject of the sentence is ""packages,"" which is plural. Therefore, the verb should also be plural. In this case, the verb ""drive"" should be changed to ""drive"" (present tense) or ""drive"" (past tense), depending on the intended meaning. A corrected version could be ""Packages drive easily to New York"" (if referring to something that packages can do themselves) or ""Package drivers easily go to New York"" (if referring to people who transport packages).",1,1,"0,5",0,1,0,1,"0,5","1,5",5,"3,5","2,5",1
A job offered.,0,"The sentence ""A job offered"" is grammatically incomplete as it lacks a subject or an object to form a complete thought. It could be revised to something like ""They offered a job,"" or ""A job was offered.""",1,0,1,0,1,0,1,1,2,5,3,3,0
They have no in.,0,"The sentence ""They have no in"" is grammatically incorrect because it is missing a complete thought or object. It seems that there might be a missing word such as ""problem,"" ""idea,"" etc., which would make the sentence complete and understandable. For example, if we say ""They have no ideas,"" then the sentence becomes grammatically correct.",1,1,1,0,0,0,1,1,2,5,3,2,1
Some my jobs are in jeopardy.,0,"The subject of the sentence is incorrect. It should be ""Some **of** my jobs,"" not just ""some my jobs."" This is because we need a preposition (""of"") to connect the plural noun ""jobs"" with its determiner ""my"". Therefore, the corrected version would be: ""Some *of* my jobs are in jeopardy.""",1,"0,5","0,5","0,5","0,5","0,5",1,0,1,"4,5","3,5",2,"1,5"
The monkeys proud of their leader.,0,"This sentence is missing a verb. A corrected version could be ""The monkeys are proud of their leader"" or ""The monkeys were proud of their leader,"" depending on the intended tense.",1,1,"0,5",1,"0,5",1,1,1,2,7,5,2,3
A good friend is remained to me by him.,0,"The verb ""remains"" should be used instead of ""is remained."" Additionally, it would sound more natural to say ""he has remained"" or ""he remains"" rather than simply ""is remained."" Also, a more natural way to phrase the entire sentence might be ""He remains a good friend to me.""",1,"0,5",0,0,0,0,1,1,2,"3,5","1,5",1,"0,5"
Kim depends for Sandy.,0,"The sentence contains a grammatical error. It should be ""Kim depends on Sandy"" instead of ""Kim depends for Sandy"". In English, we use 'depend on' to express reliance or dependence on someone or something, followed by the preposition 'on'.",0,0,0,0,1,1,1,1,2,4,2,1,1
John paid me against the book.,0,"The preposition ""against"" is incorrect in this context. It seems that the speaker wants to say that John paid them for a book. A more appropriate way to phrase it would be ""John paid me for the book.""",1,1,"0,5",0,0,0,1,1,2,"4,5","2,5","1,5",1
Students studying English reads Conrad's Heart of Darkness while at university.,0,"The verb in the sentence should agree with its subject in number. In this case, the subject is ""students,"" which is plural. Therefore, the correct form of the verb to use would be ""read"" instead of ""reads."" Hence, a corrected version of the sentence would read as follows: ""Students studying English read Conrad's Heart of Darkness while at university.""",1,1,"0,5",1,1,1,1,1,2,"7,5","5,5","2,5",3
He washed yourself.,0,"The verb 'wash' requires an object to complete its meaning, but 'yourself' is a reflexive pronoun that already includes the idea of an object (the person performing the action on themselves). Therefore, using both together creates redundancy and grammatically incorrect sentence. A better way to phrase it would be 'He washed himself.' or 'He washed you./him./her./us./them.', depending on who was being washed.",1,1,1,1,0,0,1,1,2,6,4,2,2
There is believed to be sheep in the park.,0,"The verb ""is"" or ""are"" should be used instead of ""to be"" after ""there is believed."" Additionally, ""sheep"" should be plural because it refers to more than one animal. A corrected version would read: ""There are believed to be sheep in the park.""",1,1,0,0,"0,5","0,5",1,1,2,5,3,"1,5","1,5"
I hope to would study in France.,0,"The sentence contains a mistake in verb tense agreement. In this context, we need to use ""will"" instead of ""would."" Also, there's no comma needed after 'Firstly.' A corrected version might be: ""Firstly, I will study in France.""",1,1,1,1,0,0,1,1,2,6,4,2,2
Did the child be in the school?,0,"The verb ""be"" should be used as an auxiliary verb in the past tense (""did be"") or present tense (""is/am/are""), but it cannot stand alone as the main verb in a sentence. Additionally, subject-auxiliary inversion (e.g., ""Did the child..."") requires a question format, so we need to add a question mark at the end of the sentence. A corrected version could be ""Did the child behave in school?"" or ""Is the child in school?"" depending on context.",1,1,1,"0,5",1,"0,5",1,1,2,7,5,3,2
A pound was weighed by the book.,0,"The verb tense used in this sentence does not make logical sense. The past tense of the verb ""weigh"" (was weighed) indicates that the action occurred in the past, but there is no clear subject performing the action. Additionally, it's unclear what it means for a ""pound"" to be weighed, since a pound is a unit of weight itself. It would be more appropriate to say something like ""The book was weighed on the scale.""",1,1,1,1,0,0,1,1,2,6,4,2,2
Fed knows which politician her to vote for.,0,"The pronouns used in this sentence do not agree. It's unclear who ""her"" refers to because there's no clear female antecedent mentioned earlier in the sentence. Additionally, if we assume that ""Fed"" is a person (which is itself unusual since it's typically short for Federal), the verb form should be ""knows,"" not ""know."" A corrected version could be: ""Fred knows which politician to vote for.""",1,1,1,1,0,0,1,1,2,6,4,2,2
Which house does your friend live?,0,"The sentence is missing a question mark at the end to indicate that it is a question. The corrected version of the sentence would be: ""Which house does your friend live?""",1,0,1,0,1,0,1,0,1,4,3,3,0
Jack is the person with whom Jenny fell in love with.,0,"The sentence contains a redundant preposition. The phrase ""with whom"" already indicates that Jenny fell in love with someone, so there's no need to include the additional ""with."" A corrected version of the sentence would be: ""Jack is the person whom Jenny fell in love."" However, it is more common to say ""Jack is the one Jenny fell in love with,"" or simply ""Jack is the person Jenny fell in love with.""",1,1,1,1,1,1,1,1,2,8,6,3,3
Which topic did you get bored because Mary talked about?,0,"The sentence contains a pronoun ambiguity error. It's unclear whether ""you"" refers to the speaker or the listener. Additionally, there is no verb agreement issue between the singular subject (""topic"") and the plural predicate (""talked""). A corrected version could be: ""Which topic did you get bored of because Mary talked too much about it?""",1,0,1,0,0,0,1,1,2,4,2,2,0
1 gave Mary after the party a book.,0,"The sentence contains two issues. Firstly, there should be a comma after ""party"" to separate the introductory phrase from the main clause (i.e., ""I gave Mary after the party a book.""). Secondly, we typically use ""to"" instead of ""a"" before the direct object when it's a person (i.e., ""Mary"" here) receiving something (i.e., ""book""). A corrected version would read as follows: ""I gave Mary a book after the party.""",1,0,"0,5",0,1,0,1,1,2,"4,5","2,5","2,5",0
Blue leather shows herself that Betsy is pretty.,0,"The subject of the second clause (""Betsy is pretty"") is ""Betsy,"" which requires a singular verb form to agree in number. However, the verb phrase used here is ""shows herself,"" which is grammatically incorrect because it uses a third-person singular verb form but refers to a plural noun (""leather""). A possible correction could be: ""Blue leather reveals how pretty Betsy is.""",1,0,1,0,1,0,1,1,2,5,3,3,0
Heidi thinks that Andy to eat salmon flavored candy bars.,0,"The verb tense in this sentence is incorrect. It should be ""Andy eats"" instead of ""Andy to eat."" Also, there should be a preposition between ""thinks"" and ""Andy,"" such as ""that"" or ""whether."" Here's how it could be corrected: Heidi thinks that Andy eats salmon-flavored candy bars.",1,1,1,1,"0,5",1,1,1,2,"7,5","5,5","2,5",3
Any man didn't eat dinner.,0,"This sentence contains a double negative (""didn't"" and ""any""), which can result in a positive meaning when it should be negative. A better way to phrase the sentence would be ""No man ate dinner."" Alternatively, if the intent was to convey that there was at least one man who did not eat dinner, the sentence could be rephrased as ""Not every man ate dinner.""",1,1,1,1,0,0,1,1,2,6,4,2,2
She goes and buying some whiskey.,0,"The sentence contains a grammatical error. It should be ""She goes to buy some whiskey"" instead of ""She goes and buying some whiskey."" In the corrected version, ""to"" is used as an infinitive marker before the verb ""buy,"" which indicates the purpose or intention of the action. Additionally, there should be no conjunction such as ""and"" between the subject (""she"") and the main verb phrase (""goes"").",1,1,0,0,1,1,0,0,0,4,4,2,2
Sophie will theater.,0,"The verb ""will"" indicates future tense, but there's no appropriate main verb following it. It seems that the intended verb might be ""go,"" as in ""Sophie will go to the theater."" Alternatively, if the intent was for Sophie to perform at a theater, the correction could be ""Sophie will theater**(dance/act)**, or simply rephrasing the statement such as ""Sophie will perform at the theater.""",1,1,1,1,"0,5",1,1,1,2,"7,5","5,5","2,5",3
Herself likes Mary's mother.,0,"The pronoun ""herself"" is reflexive and typically refers back to another noun or pronoun in the same clause that has already been mentioned. However, in this sentence, there is no previous mention of a subject that would justify using ""herself."" A more appropriate way to phrase the sentence could be ""She likes Mary's mother,"" or if it was necessary to emphasize that she herself (and not someone else) likes Mary's mother, one option might be ""She herself has affection for Mary's mother.""",1,1,1,1,0,0,1,1,2,6,4,2,2
John's mother likes himself.,0,"The pronoun used to refer back to the subject of a sentence should match its grammatical number and gender. In this case, ""himself"" is a reflexive pronoun that refers to a male singular noun, but it incorrectly follows the plural noun phrase ""John's mother."" Therefore, the correct form should be ""John's mother likes him,"" or ""He likes himself"" if we want to emphasize self-liking.",1,1,1,0,0,0,1,1,2,5,3,2,1
Mary revealed himself to John.,0,"The subject of the sentence ""Mary"" is female, but the pronoun used in the verb tense agreement is ""himself,"" which is a reflexive pronoun for males. A more grammatically correct version would be ""Mary revealed herself to John.""",1,1,1,1,0,0,1,1,2,6,4,2,2
I saw Bill while you did so Mary.,0,"The sentence contains a coordinating conjunction (""while"") that connects two independent clauses, but there is no comma before the conjunction. This makes the sentence difficult to read and understand because it's unclear whether ""you did so"" refers to what the speaker or someone else did. To fix this error, add a comma after ""Bill"": ""I saw Bill, while you did so, Mary."" However, even with the added comma, the sentence still sounds awkward and stilted due to the use of ""so,"" which could be replaced by a more specific verb phrase for clarity and concision. For example: ""I met Bill as you spoke to Mary.""",1,1,"0,5",0,1,1,1,1,2,"6,5","4,5","2,5",2
What Mary did Bill was give a book.,0,"The verb tense needs to be consistent throughout the sentence. In this case, ""was"" indicates that the action of giving happened in the past, but there's no clear subject for it. A corrected version could be: ""What Mary did was give Bill a book."" or ""Mary's action was giving Bill a book.""",1,1,1,0,0,0,1,1,2,5,3,2,1
Anson demonized,0,"The sentence ""Anson demonized"" is grammatically incomplete as it lacks a direct object or indirect object to complete its meaning. For example, one could say ""Anson demonized the proposal,"" which would be grammatical and meaningful. Without additional context or information, however, I cannot assume what Anson might have demonized, so for now, I will assume that the original sentence was intended to stand alone without any further clarification. In such cases, we need a direct object or an indirect object to make sense of the verb used in a sentence. Therefore, the original sentence requires revision before it can be considered grammatically correct.",1,1,1,1,1,1,1,1,2,8,6,3,3
Kick you!,0,"The sentence ""Kick you!"" is grammatically incorrect because it lacks a subject (the person doing the kicking). A correct version of this sentence would be ""Someone kicks you"" or ""He kicks you.""",1,0,1,0,1,0,1,0,1,4,3,3,0
Medea tried the nurse to poison her children.,0,"The verb ""try"" should be followed by an infinitive form of a verb (e.g., ""to poison""), but instead it's incorrectly followed by the noun ""nurse."" A corrected version would be ""Medea tried to poison her children through the nurse,"" or ""Medea asked the nurse to poison her children.""",1,1,1,1,1,1,1,1,2,8,6,3,3
I ate that she was happy,0,"The sentence ""I ate that she was happy"" is grammatically incorrect because it uses the wrong word to connect two clauses. Instead of ""that,"" a conjunction such as ""because"" or ""while"" would be appropriate here. For example, one could say ""I ate while she was happy."" Alternatively, if the intended meaning is something like ""I knew that she was happy,"" then ""ate"" must be replaced by a verb that makes sense in that context (e.g., ""realized"").",1,1,1,1,1,1,1,1,2,8,6,3,3
Gilgamesh is having fought the dragon.,0,"The verb tense in this sentence is incorrect. ""Gilgamesh is fighting the dragon"" or ""Gilgamesh fought the dragon"" would both be grammatically correct, but mixing past and present tense as in ""is having fought"" creates a confusing and ungrammatical sentence.",1,1,1,1,0,0,1,1,2,6,4,2,2
I thought he liked myself,0,"The verb ""thought"" requires an object form of the pronoun after it, but instead we see a reflexive pronoun ""myself."" We would use ""me"" as the object here, so the corrected version of the sentence is ""I thought he liked me.""",1,"0,5",1,"0,5",1,"0,5",1,1,2,"6,5","4,5",3,"1,5"
How fierce the battle?,0,"The sentence ""How fierce the battle?"" is grammatically incorrect because it lacks a proper question word (such as ""how"" or ""what"") to begin the interrogative sentence. A corrected version could be ""How fierce was the battle?"" or ""What was the ferocity of the battle?""",1,0,1,0,1,0,1,1,2,5,3,3,0
The monkey is ate the banana,0,"The past tense of ""eat"" is ""ate,"" so the verb agreement is correct in this sentence. However, the subject ""monkey"" is singular, requiring a third-person singular form of the verb to agree with it. Therefore, the correct form of the verb here would be ""eats."" So, the corrected sentence should read as follows: ""The monkey eats the banana.""",1,1,0,0,1,0,1,1,2,5,3,2,1
