input_sentence,label,explanation,correction,localisation given,localization correct,expl part 1 given,expl part 1 correct,expl part 2 given,expl part 2 correct,correction given,correction correct,total (out of 8),structure (out of 4),total_exp,structure_exp,total_corr,structure_corr,correct_exp1,correct_exp2
"No writer, and no playwright, meets in Vienna.",0,"The sentence contains a grammatical error. It should be ""No writer nor playwright meets in Vienna"" instead of ""No writer, and no playwright, meets in Vienna"". In this case, we use ""nor"" instead of ""and"", because both ""writer"" and ""playwright"" are negative ideas connected by ""no"". Additionally, there shouldn't be a comma between ""writer"" and ""nor playwright"".","The sentence I provided earlier can be corrected as follows: ""No writer nor playwright meets in Vienna.""",1,1,0,0,1,"0,5",1,"0,5",5,3,"3,5",2,"1,5",1,"1,5",2
The farmer dumped the cart with apples.,0,"In this context, ""dump"" suggests that the contents of the cart were discarded carelessly, which is unlikely to be true for a cart full of valuable produce such as apples. A more appropriate verb might be ""unloaded,"" ""emptied,"" or simply ""put down.""",The farmer unloaded the cart with apples.,1,0,1,0,"0,5",1,1,1,"5,5","3,5","3,5","2,5",2,1,1,2
Brian threw the fence with the stick.,0,"The sentence is incorrect because people throw objects such as balls or frisbees, not fences. Additionally, ""the"" before ""fence"" suggests that a specific fence has been mentioned previously, which is not the case here. A more appropriate preposition to use would be ""at,"" indicating that Brian threw the stick at the fence.",Brian threw the stick at the fence.,1,"0,5",1,"0,5",1,"0,5",1,1,"6,5",4,"4,5",3,2,1,"1,5","2,5"
Paperback books lift onto the table easily.,0,"The verb ""lift"" requires an object to complete its meaning, but there is no direct object in this sentence. Additionally, the preposition ""onto"" suggests a directional movement towards something, so it needs to be followed by a noun or pronoun indicating what is being lifted onto the table. A more grammatically correct version of this sentence would be ""Paperback books lift easily onto the table,"" although this still implies that the books themselves have agency, which may not be the intended meaning. To clarify that someone or something else is lifting the books, one could say ""One can easily lift paperback books onto the table"" or ""It's easy to lift paperback books onto the table.""",One can easily lift paperback books onto the table.,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
Carla slid at the book.,0,"The verb ""slid"" indicates past tense action, but there is no clear subject performing this action. Also, it is unclear what sliding at a book means.","The sentence could be corrected as follows: ""Carla slipped on the book."" This sentence has a clear subject (""Carla"") and uses the appropriate verb form for slipping (""slipped""). Additionally, it specifies the cause of her slipping (""on the book"").",1,"0,5",1,"0,5",0,0,1,1,5,3,3,2,2,1,1,2
The jeweller scribbled the contract with his name.,0,"The subject of the sentence is ""the jeweler,"" which is a singular noun. However, the verb ""scribbled"" is in the past tense but does not agree with the subject in number; it should be ""scribed"" to agree with the singular subject. Additionally, there seems to be some confusion about what exactly the jeweler is supposed to have scribbled on the contract - his own name? This could use clarification for clarity.","The jeweler signed his name on the contract, or The jeweler scratched out an unfavorable clause in the contract with his own handwriting, depending on the intended meaning.",1,"0,5",1,"0,5",1,"0,5",1,1,"6,5",4,"4,5",3,2,1,"1,5","2,5"
I squeaked the door.,0,"The verb ""squeak"" is typically an intransitive verb, meaning it does not take a direct object. In this case, the sentence attempts to use ""the door"" as a direct object of ""squeak,"" which is incorrect. Instead, one could say ""I squeezed **through** the door"" or ""The door squeaked (as I opened it)"" to convey the intended meaning.","The sentence should be either ""I squeezed through the door"" or ""The door squeaked (as I opened it),"" depending on context.",1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
They have no in.,0,"The sentence is missing a noun after ""no"". Without knowing what object or concept is being referred to, it's impossible for the sentence to be grammatically complete.","The sentence should read ""They have no idea,"" or some other noun should follow ""no"" to make the meaning clear.",1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
The monkeys proud of their leader.,0,"This sentence is missing a verb. A proper sentence needs both a subject (""the monkeys"") and a predicate (a verb and any accompanying objects or modifiers), but here we only have a noun phrase without a corresponding action or state-of-being for the monkeys to be doing or experiencing. In order to fix this error, one possible solution would be to add a verb such as ""are"" to make it read: ""The monkeys are proud of their leader.""",The monkeys are proud of their leader.,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
Neither of students failed.,0,"The sentence ""Neither of students failed"" is incorrect because it lacks a determiner before ""students"". It should be ""Neither of the students failed"" or ""Neither student failed"", depending on whether there were only two students being referred to.",Neither of the students failed.,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
I drank some of water.,0,"The verb ""drank"" does not agree with its subject ""I"". In present tense, we would say ""I drink"", but in past tense it should be ""I drank"". However, when using ""some"" to indicate a quantity, we need to use a plural noun after it, so instead of saying ""some water"", we should say ""some water**s**"". Therefore, the corrected sentence should read ""I drank some **of the** water.""","The sentence is already correct if we change it to ""I drank some of the water.""",1,"0,5",1,0,1,0,1,1,"5,5",4,"3,5",3,2,1,"0,5","1,5"
He washed yourself.,0,"The verb ""washed"" requires an object pronoun such as ""him,"" ""her,"" or ""it,"" but instead, a reflexive pronoun ""yourself"" is used. This error occurs because people often mistakenly use a reflexive pronoun when they mean to use an objective pronoun.",He washed him/her/it.,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
John will rain tomorrow.,0,"The verb ""rain"" is an impersonal verb that doesn't have a subject. It should be used in the following way: ""It will rain tomorrow,"" instead of ""John will rain tomorrow"". Therefore, the original sentence is incorrect.",It will rain tomorrow.,1,1,0,0,1,1,1,1,6,3,4,2,2,1,2,3
Did the child be in the school?,0,"The sentence contains a verb form error. In English, we use the auxiliary verb ""did"" to ask questions about past simple tense. So, the correct form of the verb ""to be"" after ""did"" should be ""be"". However, it's ungrammatical to say ""Did the child be...?"" because we need to use the past participle form ""been"" instead of ""be"". Therefore, the correct question would be ""Did the child been in the school?"" but even so, it still sounds very awkward. A more natural way to express this idea would be ""Was the child in school?"" or ""Did the child go to school?"".","The sentence ""Did the child been in the school?"" needs to be corrected as either ""Was the child in school?"" or ""Did the child go to school?"" depending on what exactly the speaker wants to convey.",1,1,"0,5",0,1,0,1,"0,5",5,"3,5","3,5","2,5","1,5",1,1,"1,5"
A pound was weighed by the book.,0,"The verb tense used in the sentence does not agree with the intended meaning of the sentence. In present perfect tense, which would be appropriate for expressing a past action related to the current time (""has been"" or ""have been""), the auxiliary verb ""to have"" must precede the past participle form of the main verb. Here, ""was"" is the past simple form of ""to be"", but it doesn't make sense in context as there isn't any clear reference point in the past. Instead, if you want to say something has weight equal to one pound, use the following construction: ""A pound in weight is what the book has"".",A pound in weight is what the book has.,1,"0,5",1,0,1,0,1,1,"5,5",4,"3,5",3,2,1,"0,5","1,5"
Which house does your friend live?,0,"The verb in the sentence should agree with its subject in number. In this case, the subject of the sentence is ""friend,"" which is singular. Therefore, the verb should also be singular, but instead we have the plural form ""do"". A correct version would be ""Which house does your friend live in?""",Which house does your friend live in?,1,0,1,0,1,0,1,1,5,4,3,3,2,1,0,1
Jack is the person with whom Jenny fell in love with.,0,"The preposition ""with"" is only needed once in this sentence. It's redundant to include it after ""in love"". Here's a corrected version of the sentence:","Jack is the person whom Jenny fell in love with. OR ""Jack is the person with whom Jenny fell in love.""",1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
Who achieved the best result was Angela.,0,"The sentence contains a common error known as a misplaced modifier. In this case, ""who achieved the best result"" is acting as a modifying phrase for the subject of the sentence (""was""), but it's intended to modify ""Angela"". To fix this issue, we need to move the modifying phrase next to the word it's meant to describe.","The sentence should be corrected as follows: ""Angela was the one who achieved the best result.""",1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
1 gave Mary after the party a book.,0,"The sentence contains multiple errors. In English, we typically say ""I gave Mary a book after the party"" instead of ""I gave after the party Mary a book"". Additionally, it's more common to use the past simple tense (""gave"") rather than present perfect tense (""have given"").",I gave Mary a book after the party.,"0,5","0,5","0,5",0,"0,5",0,1,1,4,"2,5",2,"1,5",2,1,"0,5","1,5"
"Because she's so pleasant, as for Mary I really like her.",0,"The second part of this sentence should use ""I"" instead of ""for"". A corrected version would be ""as for me, I really like her.""","As for me, I really like her. Because she's so pleasant, as for me, I really like her. This revised sentence uses ""me"" after ""as for"", which is more grammatically correct than using ""for"" alone.",1,1,0,0,0,0,1,1,4,2,2,1,2,1,1,2
the book of poems and from Blackwell takes a very long time to read.,0,"The sentence is grammatically incorrect because there are two different objects of the verb ""takes"" - ""the book of poems"" and ""from Blackwell"". It's unclear what ""from Blackwell"" refers to. Additionally, we need an article before ""Blackwell"", as it seems to be referring to a specific place (""a Blackwell"").","The sentence could be corrected as follows: ""Reading the book of poems from Blackwell takes a very long time."" However, if ""Blackwell"" refers to a publisher rather than a location, the corrected sentence would be: ""The book of poems published by Blackwell takes a very long time to read.""",1,1,1,"0,5","0,5",0,1,1,6,"3,5",4,"2,5",2,1,"1,5","2,5"
The building's the roof is leaking.,0,"In this sentence, we have a subject-verb agreement error. The subject of the sentence is ""the building,"" which is singular. However, the verb ""is"" does not agree with the plural noun ""roof."" Therefore, the correct form of the verb should be ""has,"" as in ""The building's roof has been leaking.""",The building's roof has been leaking.,1,0,1,0,0,0,1,1,4,3,2,2,2,1,0,1
the panther's the coat is dark black.,0,"The noun ""coat"" is countable, so it requires a determiner before it. In this case, there is no need to repeat the article ""the,"" as it would be redundant. Therefore, the correct form of the sentence should be ""the panther's coat is dark black"" without the repeated definite article.",The panther's coat is dark black.,1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
Any man didn't eat dinner.,0,"This sentence contains a double negative (""any"" + ""didn't""), which results in a positive statement rather than a negative one. In other words, the sentence says that there is some man who did eat dinner, but it should say that no man ate dinner. Double negatives can create confusion and make statements unclear.",No man ate dinner.,1,1,1,"0,5",0,0,1,1,"5,5",3,"3,5",2,2,1,"1,5","2,5"
Kim and Terry is happy.,0,"The subject of the sentence ""Kim and Terry"" is plural, so the verb must also be plural. Therefore, ""is"" should be changed to ""are"".",Kim and Terry are happy.,1,1,0,0,1,1,1,1,6,3,4,2,2,1,2,3
John whispered Mary left.,0,"The sentence ""John whispered Mary left"" is grammatically incorrect because it lacks a main verb for the subject ""Mary"". It seems as though two separate actions (""whispered"" and ""left"") have been jammed together without proper syntax. A possible correction could be ""John whispered 'Mary has left.'"" or ""John whispered as Mary left."", depending on context and intended meaning.",John whispered as Mary left.,1,"0,5",1,"0,5",0,0,1,1,5,3,3,2,2,1,1,2
Mary wonders that Bill will come.,0,"In English, we typically use if-clauses to express uncertainty about future events rather than wondering clauses. A more appropriate way to convey the intended meaning would be “Mary wonders if Bill will come.” This structure implies a question without using an actual question mark. The original sentence could potentially work as direct speech (“Mary wonders, ‘Will Bill come?’”), but it's unclear from context whether that's the case here. I assume it isn't since no quotation marks were provided.",Mary wonders if Bill will come.,1,1,0,0,1,1,1,1,6,3,4,2,2,1,2,3
Sophie will theater.,0,"The verb ""will"" indicates future tense, but there is no appropriate main verb following it. In this case, ""theater"" seems to be intended as a verb (""Sophie will go to the theater""), but it's written as if it were a noun.",Sophie will **go** to the theater.,1,1,1,1,0,0,1,1,6,3,4,2,2,1,2,3
John's mother likes himself.,0,"The reflexive pronoun used here should refer back to the subject of the sentence. In this case, the subject is ""John's mother,"" but the reflexive pronoun ""himself"" refers to a male person. Instead, we should use ""herself"" as the reflexive pronoun to correctly match the gender of the subject.",John's mother likes herself.,1,1,1,1,"0,5",1,1,1,"7,5","3,5","5,5","2,5",2,1,3,4
"Only Churchill remembered Churchill giving the Blood, Sweat and Tears speech.",0,"The repetition of the name ""Churchill"" at the beginning of each clause is redundant and incorrect. It would be better to rephrase it as follows: ""Only Winston Churchill remembered his own Blood, Sweat and Tears speech.""","Only Winston Churchill remembered his own Blood, Sweat and Tears speech.",1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
What Mary did Bill was give a book.,0,"The subject of the second clause (""Bill"") needs to be connected to the verb using a helping verb such as ""was"" or ""did"". A corrected version could be ""What Mary did was **give** Bill a book,"" or ""What Mary saw was Bill **giving** her a book.""",What Mary did was give Bill a book.,0,0,0,0,1,0,1,1,3,2,1,1,2,1,0,1
Anson thought that himself was happy.,0,"The reflexive pronoun ""himself"" cannot be used as a subject of a sentence; it must refer to another noun or pronoun within the same clause. In this case, ""Anson"" is the subject, so the verb form ""is"" should be followed by the simple personal pronoun ""he"":",Anson thought that he was happy.,1,"0,5",1,"0,5","0,5",0,1,1,"5,5","3,5","3,5","2,5",2,1,1,2
I thought he liked myself,0,"The pronoun used after ""liked"" should be the objective form ""me"", rather than the reflexive form ""myself"". Using ""myself"" here implies that the speaker did something to themselves that they believed the other person would approve of. Therefore, the grammatically correct version of this sentence would be ""I thought he liked me.""","The sentence should be ""I thought he liked me.""",1,1,1,1,1,1,1,1,8,4,6,3,2,1,3,4
He can will go,0,"The sentence ""He can will go"" is grammatically incorrect because it uses both ""can"" and ""will,"" which are both modal verbs expressing future tense. Using two modal verbs together is generally considered unacceptable in standard English. A more appropriate way to phrase this idea would be ""He will be able to go"" or simply ""He will go.""","The sentence should be either ""He will go"" or ""He can go"", depending on the intended meaning.",1,1,1,1,0,0,1,1,6,3,4,2,2,1,2,3
The bookcase ran,0,"Inanimate objects such as a bookcase cannot run; only living things can run. This is a grammatical error known as anthropomorphism, which is when human qualities are attributed to non-human entities.",The bookcase had tipped over.,1,1,1,1,0,0,1,1,6,3,4,2,2,1,2,3
